,open,high,low,close,volume,date
0,285.0000,286.9100,282.9400,283.2100,3534110,2025-06-18
1,281.1500,284.7899,281.0001,283.0500,3069556,2025-06-17
2,279.3050,284.5000,278.6657,281.8300,3685321,2025-06-16
3,278.2050,279.8400,275.8300,277.2200,3243824,2025-06-13
4,281.5300,283.0600,279.8300,281.0300,3418007,2025-06-12
5,276.7000,281.7500,275.1100,281.5200,4656034,2025-06-11
6,273.1900,277.4700,272.5600,276.2400,5163507,2025-06-10
7,268.1000,273.4700,266.7100,272.0800,4331464,2025-06-09
8,267.9900,270.1700,267.5300,268.8700,2495543,2025-06-06
9,265.2000,267.5100,265.1000,266.8600,2659478,2025-06-05
10,264.9000,267.0000,264.7900,265.5200,2588741,2025-06-04
11,263.3500,265.5600,262.5800,265.2000,2494922,2025-06-03
12,257.8500,263.9760,257.2200,263.9000,2831881,2025-06-02
13,258.7500,260.1200,257.1000,259.0600,9668923,2025-05-30
14,260.7500,261.1300,256.7700,258.6900,2295228,2025-05-29
15,263.1600,265.0000,259.9400,260.2400,2318437,2025-05-28
16,261.0000,263.7869,259.6300,263.2300,3284216,2025-05-27
17,258.5800,259.8696,255.7900,258.6300,2722721,2025-05-23
18,260.7700,261.2711,257.9100,258.3700,3091253,2025-05-22
19,264.9700,265.6499,260.4100,260.8700,3753904,2025-05-21
20,267.4000,269.2800,265.6201,266.9500,2437860,2025-05-20
21,265.4500,269.1350,265.0800,268.4100,3198903,2025-05-19
22,266.3500,267.9800,264.5900,266.7600,3817937,2025-05-16
23,259.0100,267.4300,258.6100,266.6800,4856276,2025-05-15
24,257.6000,260.5500,256.2200,257.8200,3635124,2025-05-14
25,254.4300,259.5800,252.8800,258.5900,3521389,2025-05-13
26,252.5000,253.8100,244.6500,253.6900,4609520,2025-05-12
27,252.5100,253.0000,247.6400,249.2000,2901346,2025-05-09
28,255.0000,256.5200,253.2500,254.1400,3637012,2025-05-08
29,249.4500,254.4700,248.8320,253.3700,3400001,2025-05-07
30,247.7600,250.1900,246.1100,249.1200,2900556,2025-05-06
31,243.7400,249.8000,243.6400,249.1800,4138168,2025-05-05
32,243.1250,245.6900,241.3300,245.5500,3731946,2025-05-02
33,241.4400,242.3700,237.9450,239.6600,4243294,2025-05-01
34,236.7300,242.4700,234.3401,241.8200,5142993,2025-04-30
35,237.0000,239.9800,236.1400,239.3900,3426508,2025-04-29
36,232.8600,236.6300,232.0700,236.1600,3653461,2025-04-28
37,228.9500,233.3600,226.3200,232.4100,6700068,2025-04-25
38,231.1750,232.7800,224.4401,229.3300,15428144,2025-04-24
39,246.0000,249.3400,243.6600,245.4800,7948259,2025-04-23
40,238.5000,242.6400,238.0200,240.9000,4232658,2025-04-22
41,238.0650,240.8050,232.9300,236.2200,4908923,2025-04-21
42,239.6800,241.7750,237.4000,238.8100,4635204,2025-04-17
43,240.2800,243.2999,235.8900,238.5700,4870299,2025-04-16
44,239.5500,241.5300,238.2700,240.7000,3363708,2025-04-15
45,239.7700,241.7700,236.7300,239.0600,3321717,2025-04-14
46,229.7200,237.5800,227.5100,235.4800,4325895,2025-04-11
47,231.0000,232.5700,222.0200,229.5500,5656108,2025-04-10
48,217.1200,236.3000,215.1636,235.3100,7302808,2025-04-09
49,232.5600,233.0500,217.2800,221.0300,6849996,2025-04-08
50,219.2400,232.2900,214.5000,225.7800,7797889,2025-04-07
51,238.0000,240.1600,226.8800,227.4800,7407096,2025-04-04
52,242.7100,250.6100,242.5300,243.4900,5309626,2025-04-03
53,248.2200,252.7900,247.2300,249.9800,4080832,2025-04-02
54,248.0300,250.6200,243.4900,250.3400,4413139,2025-04-01
55,242.7400,250.8900,242.4900,248.6600,6794972,2025-03-31
56,246.2700,247.5700,242.0700,244.0000,3125594,2025-03-28
57,249.7100,250.3000,245.7250,246.2100,2889328,2025-03-27
58,251.2500,254.3200,249.5300,250.3400,4452220,2025-03-26
59,248.3600,250.9000,248.2000,249.9000,3133809,2025-03-25
60,247.3100,248.8200,245.9650,248.4500,4753331,2025-03-24
61,241.6900,245.2050,238.5000,243.8700,9580084,2025-03-21
62,244.2400,246.8000,237.2240,243.3200,7026796,2025-03-20
63,248.3300,253.6600,246.6400,252.2900,3853598,2025-03-19
64,252.5100,252.5700,245.1200,246.9500,4172239,2025-03-18
65,249.2500,254.6300,249.0000,252.9700,3234149,2025-03-17
66,242.7450,248.9499,241.6800,248.3500,4045284,2025-03-14
67,248.8000,249.2700,243.0400,245.8000,3862416,2025-03-13
68,250.3500,253.1273,245.5300,249.6300,3849206,2025-03-12
69,255.9900,256.7000,245.8600,248.9500,5630570,2025-03-11
70,261.5600,266.4500,254.7500,256.9000,8126234,2025-03-10
71,245.9500,261.9600,245.1823,261.5400,6700184,2025-03-07
72,249.7500,252.1000,246.8019,248.6900,3254358,2025-03-06
73,251.5800,252.7400,247.0146,251.3500,4009813,2025-03-05
74,248.7500,255.4800,248.1000,253.2100,5342106,2025-03-04
75,254.7350,255.9900,248.2450,250.1900,2977699,2025-03-03
76,250.8550,252.8099,246.5400,252.4400,7988809,2025-02-28
77,255.2200,257.6300,253.0500,253.2300,3402234,2025-02-27
78,258.1000,258.3250,254.4104,255.8400,3460124,2025-02-26
79,261.0800,263.4800,256.7700,257.7500,6292487,2025-02-25
80,261.5000,263.8450,259.5800,261.8700,4398107,2025-02-24
81,263.8450,264.8300,261.1000,261.4800,5667874,2025-02-21
82,263.6500,265.0900,262.1500,264.7400,4884805,2025-02-20
83,262.0000,264.3600,260.0900,264.3200,3718678,2025-02-19
84,261.9300,263.9650,259.8300,263.0700,4262812,2025-02-18
85,259.0000,261.9400,257.9100,261.2800,3925277,2025-02-14
86,255.6600,259.2800,254.4100,259.1900,4531538,2025-02-13
87,252.7200,256.4000,252.0200,255.8100,3075308,2025-02-12
88,251.1000,256.7500,250.5800,254.7000,4801550,2025-02-11
89,250.8600,251.9500,246.8700,249.2700,3564400,2025-02-10
90,255.2800,256.9300,252.0200,252.3400,3370284,2025-02-07
91,262.9800,263.3800,252.7300,253.4400,6128293,2025-02-06
92,265.7100,265.7200,261.1800,263.3000,6165096,2025-02-05
93,260.0000,265.2500,258.1233,264.4600,6077652,2025-02-04
94,252.4000,262.0600,251.8400,260.7300,8408523,2025-02-03
95,256.0500,257.2350,251.8900,255.7000,7203519,2025-01-31
96,250.0000,261.8000,247.0100,258.2700,15381890,2025-01-30
97,225.6200,229.4700,223.7300,228.6300,7079804,2025-01-29
98,224.3200,225.7700,221.7700,225.6600,4485429,2025-01-28
99,222.1900,224.3000,219.8400,224.1300,4898355,2025-01-27
100,225.2700,226.8104,223.8000,224.8000,3233293,2025-01-24
101,223.9400,226.0400,223.1500,226.0400,3619651,2025-01-23
102,221.9800,224.4000,220.3500,223.2600,4759490,2025-01-22
103,224.9900,227.4500,222.8302,224.2600,3982203,2025-01-21
104,225.9550,225.9550,223.6400,224.7900,5506837,2025-01-17
105,219.6900,222.6800,217.3800,222.6600,3329060,2025-01-16
106,220.8700,221.6761,218.0100,220.0300,2951825,2025-01-15
107,218.0000,218.1250,214.6100,217.7500,3485829,2025-01-14
108,217.8900,219.5900,214.7500,217.4000,3716816,2025-01-13
109,222.0000,222.4300,216.8000,219.7500,3570497,2025-01-10
110,223.9100,224.9000,220.8300,223.1800,2619768,2025-01-08
111,223.3500,226.7110,222.8300,223.9600,3299701,2025-01-07
112,223.0000,224.3500,220.7500,222.6700,2847128,2025-01-06
113,220.5500,223.6600,220.5500,222.6500,3873578,2025-01-03
114,221.8200,222.4900,217.6000,219.9400,2579498,2025-01-02
115,220.7200,221.0493,218.4400,219.8300,2270512,2024-12-31
116,220.5400,221.5942,217.6523,220.2500,2095565,2024-12-30
117,223.1400,224.4200,221.4054,222.7800,1810760,2024-12-27
118,223.3100,225.4000,222.5500,224.8900,3287238,2024-12-26
119,222.2700,224.4446,221.5428,224.4100,1186216,2024-12-24
120,222.8100,223.7400,221.0800,221.9300,2988137,2024-12-23
121,222.7300,227.6847,221.6800,223.3600,12423200,2024-12-20
122,224.4200,226.2000,222.9800,223.9200,4430120,2024-12-19
123,229.0350,229.0350,220.0300,220.1700,4152517,2024-12-18
124,229.2300,230.2000,227.6200,228.9700,3651346,2024-12-17
125,230.7300,231.0300,226.8800,229.3300,3610257,2024-12-16
126,232.2500,233.7750,230.2600,230.8200,2757683,2024-12-13
127,230.6600,233.8900,230.3800,232.2600,4515741,2024-12-12
128,232.6900,233.0000,229.1300,230.1200,3872680,2024-12-11
129,228.4000,234.3900,227.8000,231.7200,4769531,2024-12-10
130,238.0000,239.3500,228.9100,230.0000,4970449,2024-12-09
131,234.4300,238.3800,234.2200,238.0400,4028430,2024-12-06
132,233.5500,236.5200,233.4600,234.7500,4791116,2024-12-05
133,230.0000,233.7400,229.3500,233.4900,4104195,2024-12-04
134,227.2400,229.1100,226.6700,229.0000,3163815,2024-12-03
135,227.5000,228.3800,225.5100,227.3900,2656181,2024-12-02
136,227.7500,230.3600,227.1900,227.4100,2640253,2024-11-29
137,228.8300,229.1900,224.2700,226.9200,2995121,2024-11-27
138,226.7300,228.9800,225.5115,228.8300,4449543,2024-11-26
