,open,high,low,close,volume,date
0,478.0000,481.0000,474.4600,480.2400,17526452,2025-06-18
1,475.3950,478.7399,474.0800,478.0400,15414128,2025-06-17
2,475.2100,480.6943,475.0000,479.1400,15626104,2025-06-16
3,476.4100,479.1800,472.7600,474.9600,16814456,2025-06-13
4,475.0200,480.4150,473.5200,478.8700,18950582,2025-06-12
5,470.0200,475.4700,469.6550,472.6200,16399176,2025-06-11
6,471.1850,472.8000,466.9600,470.9200,15375944,2025-06-10
7,469.7000,473.4300,468.6200,472.7500,16469932,2025-06-09
8,470.0850,473.3350,468.7800,470.3800,15285624,2025-06-06
9,464.9550,469.6500,464.0300,467.6800,20154460,2025-06-05
10,464.0000,465.6900,463.0201,463.8700,14162688,2025-06-04
11,461.4700,464.1400,460.8622,462.9700,15743760,2025-06-03
12,457.1400,462.1100,456.8900,461.9700,16626495,2025-06-02
13,459.7150,461.6800,455.5400,460.3600,34770475,2025-05-30
14,461.5500,461.7200,455.3105,458.6800,13982211,2025-05-29
15,461.2200,462.5200,456.9300,457.3600,17086261,2025-05-28
16,456.4800,460.9500,456.1150,460.6900,20974293,2025-05-27
17,449.9800,453.6900,448.9100,450.1800,16883509,2025-05-23
18,454.9500,460.2500,453.9000,454.8600,18025612,2025-05-22
19,454.5700,457.7800,451.8140,452.5700,19216906,2025-05-21
20,455.5900,458.3400,454.3201,458.1700,15441808,2025-05-20
21,450.8750,459.5850,450.8000,458.8700,21336509,2025-05-19
22,452.0500,454.3600,448.7300,454.2700,23849781,2025-05-16
23,450.7650,456.1900,450.4301,453.1300,21992323,2025-05-15
24,448.1400,453.9000,448.1400,452.9400,19902796,2025-05-14
25,447.7800,450.6733,445.3600,449.1400,23618819,2025-05-13
26,445.9400,449.3700,439.7800,449.2600,22821935,2025-05-12
27,440.0000,440.7400,435.8800,438.7300,15324233,2025-05-09
28,437.9300,443.6700,435.6600,438.1700,23491330,2025-05-08
29,433.8400,438.1200,431.1103,433.3500,23307241,2025-05-07
30,432.2000,437.7300,431.1700,433.3100,15104204,2025-05-06
31,432.8700,439.5000,432.1100,436.1700,20136053,2025-05-05
32,431.7400,439.4400,429.9850,435.2800,30757434,2025-05-02
33,431.1100,436.9900,424.9000,425.4000,58938100,2025-05-01
